,endTime,artistName,trackName,msPlayed,artist_uri,album_uri,track_uri,listen_count
27,2021-02-19 06:00,In-Grid,Tu es foutu,13196,spotify:artist:1SLFnlhgHr5lExgdr6YeoL,spotify:album:1gjo8YgnY2ETkKEWIBA87M,spotify:track:5TX4QkyawyBAjNjwF2qBzG,3.0
28,2021-02-19 06:00,Kate Ryan,Voyage voyage,119381,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:4HsvdyB7HDERx46V8Q8dV8,3.0
29,2021-02-19 06:00,Alizée,Moi... Lolita,8424,spotify:artist:53deL58uye6fCqRK4COtR4,spotify:album:27GazU6l1uTiP8WW4sw5vy,spotify:track:6e0LjNPkRqxIAlmmdjWSV8,2.0
30,2021-02-19 06:04,Loreen,Euphoria,214133,spotify:artist:49aaHxvAJ0tCh0F15OnwIl,spotify:album:73FYKSgOypVgghYr8GsEGl,spotify:track:2knr7ikPt4l7bk92qS4ZXW,2.0
31,2021-02-19 06:07,Kate Ryan,Désenchantée,218533,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:5XCvIMSKvTNyYq9HevTWa3,spotify:track:6SNcx71T1M7CkRCbswPtwj,2.0
32,2021-02-19 06:08,R.I.O.,Shine On,68650,spotify:artist:0Ol3Jol2T3lZZVLNNzWPhj,spotify:album:6hzcXhl0PzW7RVIaFqvGYe,spotify:track:7yIGRf80h3Kwi4GfwJUiQl,3.0
33,2021-02-19 06:08,Pakito,Living on Video,6899,spotify:artist:4FHn7iPrkpqsUTwRSxfX4l,spotify:album:2khbF6IALjqaY1fEBUJdn2,spotify:track:7xd4W5j31YBgutLf2FlMuI,3.0
34,2021-02-19 06:08,Sonique,Sky,4168,spotify:artist:5xtqw2B8z8JGfDYi2eAZHI,spotify:album:4LX27S3cszKEJW84BGa1Ff,spotify:track:7zlkYAQdYPIwagUwO7Dyah,2.0
35,2021-02-19 06:09,September,Satellites,17725,spotify:artist:6VX2R9L0O0d6qPvqGuIH7b,spotify:album:3hAQd7sXzcFJApKbZfQhvs,spotify:track:7iZuR1XsziH1CN5xYp4H18,3.0
36,2021-02-19 06:09,Narcotic Thrust,I Like It,3336,spotify:artist:5nI09GHOrlMO2wJNfDm2OD,spotify:album:0Xff533nhXOowBW85ouKEs,spotify:track:2ImBZyxZFNhMnPks8GyIsY,1.0
37,2021-02-21 03:36,September,Satellites,9390,spotify:artist:6VX2R9L0O0d6qPvqGuIH7b,spotify:album:3hAQd7sXzcFJApKbZfQhvs,spotify:track:7iZuR1XsziH1CN5xYp4H18,3.0
38,2021-02-21 03:39,Kate Ryan,Ella Elle L A Radio Version,165415,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:1bV3jw1mlVbPkzc9bCGCsl,7.0
39,2021-02-21 03:47,Sonique,Sky,58604,spotify:artist:5xtqw2B8z8JGfDYi2eAZHI,spotify:album:4LX27S3cszKEJW84BGa1Ff,spotify:track:7zlkYAQdYPIwagUwO7Dyah,2.0
40,2021-02-21 05:35,Akcent,Kylie,14270,spotify:artist:57Pw3FSi1qi2fOY4wKOKjK,spotify:album:2ChywNmd4XCgJGnYUq8zAF,spotify:track:1zhUaodzu43qKwK0idP6IA,2.0
41,2021-02-21 05:37,EDX,All I Know,148801,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:1x3YCrWS5EbU8Lqs0efi1M,spotify:track:6tr6I3YJnHUqKHfJXnm4jk,10.0
42,2021-02-21 05:38,EDX,I Found You (Neptune),46118,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3P86G1IWPEI9yX9ANvjJ0f,spotify:track:078XSMBD1XBjtxee96dgew,6.0
43,2021-02-21 05:42,Fleetwood Mac,Seven Wonders 2017 Remaster,222400,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:4AsXQ17Arq1cUVoa9dKJ3F,spotify:track:1VN2vWSkSmMKOhxr8lHzSx,1.0
44,2021-02-21 05:45,Fleetwood Mac,The Chain 2004 Remaster,145270,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:0BwWUstDMUbgq2NYONRqlu,spotify:track:5e9TFTbltYBg2xThimr0rU,1.0
45,2021-02-21 14:36,Cardi B,WAP (feat. Megan Thee Stallion),139490,spotify:artist:4kYSro6naA4h99UJvo89HB,spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,spotify:track:4Oun2ylbjFKMPTiaSbbCih,5.0
60,2021-02-22 01:17,Nora En Pure,Come With Me,173625,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Z83BApqk19O0J3QAMRqaR,spotify:track:1Ht4NJdY8adMsW540P5vG0,3.0
61,2021-02-22 01:20,Nora En Pure,Tears In Your Eyes,215125,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3qIcWGQGUmiUPgA2x0W7OD,spotify:track:4xs3eeuZb1WofrjlUp65QP,8.0
62,2021-02-22 01:24,Nora En Pure,Enchantment,223276,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:10BRsH87G6qLzaifLggT3J,spotify:track:4DiuwmmlIFwF5rFljlannW,3.0
63,2021-02-22 01:27,Nora En Pure,Fibonacci,188483,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0HQyQc8KYSgmt5iVieQWNY,spotify:track:0Jb3Kq7oDqRznHPIcrQpiX,3.0
64,2021-02-22 01:30,Nora En Pure,In Your Eyes,196651,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5bdr0J9B1xKOKHtROVOBDR,spotify:track:501sz40LhXSFQHA2LTXMpw,2.0
65,2021-02-22 01:33,Nora En Pure,Birthright,183565,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0ls1gAa8FU4CIxyWk7B25q,spotify:track:24KBMWfxD8l3z9JwfgU9oL,2.0
66,2021-02-22 01:36,Nora En Pure,Branches,190731,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:6q5QgqXvW1lgIBSdSihcVN,2.0
67,2021-02-22 01:37,Nora En Pure,Saltwater 2015 Radio Rework,54506,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5ZswIbwRaWolqNtBj0vfp1,spotify:track:2EMzMzKNNidJhIJgOQBkos,1.0
68,2021-02-22 01:40,Nora En Pure,Heart Beating,163320,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DFQvyHcoDjOafv2TiNrnL,spotify:track:1WvOvrsD1ntQq1khvNe3lK,2.0
69,2021-02-22 01:43,Nora En Pure,Monsoon,222947,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:1FgxefL0BLVL5nsteC1Qva,1.0
70,2021-02-22 01:46,Nora En Pure,In The Air Tonight Croatia Squad Remix,184426,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3iUi1VE0D5crCLSBzPdB1c,spotify:track:3CdGMGuadrX7Dyw6Zwn1VR,3.0
71,2021-02-22 01:50,Nora En Pure,Come Away,232800,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:2S4bmShnGqgg71fRxb49qD,spotify:track:4vvt4hb0B6ZL1gFxW19rfC,1.0
72,2021-02-22 01:54,Nora En Pure,Delta,204290,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1xGvbgezgfzeFTndnwfY2U,spotify:track:47LQEI2udisu7sRC9dYU4l,1.0
73,2021-02-22 02:00,Nora En Pure,Cognitive Fadings Club Mix,406572,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6pRmfKehx2MIEX6hRwEkAc,spotify:track:0jXkV5NFwQY2OoKgjWa6Oa,2.0
74,2021-02-22 02:03,Nora En Pure,All I Need,191798,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:51B8D9NfYAQkN28wFZSHMz,spotify:track:6qyTKkv5D6UYZXSn5UCmos,1.0
75,2021-02-22 02:07,Nora En Pure,World of Rules,233036,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:63fqvH2P6mzM6SuPLz3RBo,2.0
76,2021-02-22 02:11,Nora En Pure,Uruguay EDX Radio Mix,208549,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1csth0vkJoVkcp0iRnQksO,spotify:track:2giovtCLCqxYwEdvkWth8O,5.0
77,2021-02-22 02:13,Nora En Pure,Wetlands,143500,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:08ucoPE8XIWuxlfXKOs4Hq,spotify:track:3DTdC9y1dLT1BmfV8mgKKi,1.0
78,2021-02-22 02:16,Nora En Pure,Homebound,210000,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1qFS7wkzfY0SuYsq2uN1jk,spotify:track:1mQNEl2zLhP3OU36mndaET,2.0
79,2021-02-22 02:20,Nora En Pure,U Got My Body,215439,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:07KeSudMUJHfMARBQUMwfc,spotify:track:4t3VdwIdGpFEiAbosYO0ZD,2.0
80,2021-02-22 02:23,Nora En Pure,Dont Look Back,13174,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:0D2dTLqOGwrfK29Ym0biPf,2.0
81,2021-02-22 02:23,Nora En Pure,Morning Dew,213479,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5yeBTEsHI8aCGwYXgRhcWC,spotify:track:6lPhnamoOdxOg7jQ3gSWOa,2.0
82,2021-02-22 02:27,Nora En Pure,Sphinx,206125,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1s0R1NzSAWj3u5vQZQ7Jx7,spotify:track:3d2yowRTcZpQgtkNFmFNiQ,19.0
83,2021-02-22 02:34,Nora En Pure,Sweet Melody Original Mix,445220,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:7fekWkLTkMot4CkX3Tz20T,spotify:track:79R5oMVwp6OXSTlfQPQPEA,1.0
84,2021-02-22 02:37,Nora En Pure,Tell My Heart (feat. Dani Senior),205033,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5sWYiEq2NzmcqhIkdp2r9Y,spotify:track:4Zj5rf0cOJimOIDfV3bqyX,3.0
85,2021-02-22 02:41,Nora En Pure,Turn It Around Original Mix,216039,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Q2t8dWk1KUFZuTm0cM4ex,spotify:track:6Xg8V2bVsD6gXn5k4jN7jj,2.0
86,2021-02-22 02:44,Nora En Pure,We Found Love (feat. Ashibah),187131,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3U6qj7DDrp0ous2FpvmAAa,spotify:track:6179WQbZYf2WXoVne3mN6d,1.0
87,2021-02-22 02:47,Nora En Pure,Satisfy Mart Radio Edit,184894,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5XUAhXbWHsIDaAVGerOorM,spotify:track:6hzQuQ1vwvC4sL2kRRyHmH,2.0
88,2021-02-22 02:51,Polo & Pan,Feel Good,238423,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7bV4wxsjlnAq7hJ4y4MTQm,spotify:track:3NMFWhIDAdDGX3xmXOxHyo,15.0
89,2021-02-22 02:55,Polo & Pan,Attrape-rêve,224724,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:0aTaTaROrLwQokUSudVKIe,12.0
90,2021-02-22 02:58,Polo & Pan,Nanã,190823,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:0Psz3az3RIYfJpnsajBT8N,14.0
91,2021-02-22 03:02,Polo & Pan,Pili Pili,250333,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:74N9cnVOhruZpoZUt4Ky5z,12.0
92,2021-02-22 03:07,Polo & Pan,Canopée,276293,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:260V7huyJrXnyYe0dFv2Fa,20.0
93,2021-02-22 03:11,Polo & Pan,Peter Pan,237680,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:7CIkvtqLxM5mwDaItJDVuP,27.0
94,2021-02-22 03:15,Polo & Pan,Gengis Edit,231934,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lTn1zyy0duOEeypiqzmcr,spotify:track:1pYSFtyZaRyP4bwazfm5cy,17.0
