,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
28,Kate Ryan,Voyage voyage,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:4HsvdyB7HDERx46V8Q8dV8,0.000926,0.566,184587.0,0.951,0.000517,8.0,0.338,-3.197,0.0,0.0352,129.954,4.0,0.259
29,Alizée,Moi... Lolita,spotify:artist:53deL58uye6fCqRK4COtR4,spotify:album:27GazU6l1uTiP8WW4sw5vy,spotify:track:6e0LjNPkRqxIAlmmdjWSV8,0.0519,0.628,264283.0,0.888,0.000191,11.0,0.233,-3.74,0.0,0.0277,107.958,4.0,0.577
30,Loreen,Euphoria,spotify:artist:49aaHxvAJ0tCh0F15OnwIl,spotify:album:73FYKSgOypVgghYr8GsEGl,spotify:track:2knr7ikPt4l7bk92qS4ZXW,0.079,0.518,214133.0,0.679,4.85e-05,11.0,0.0588,-5.406,0.0,0.0355,132.146,4.0,0.106
31,Kate Ryan,Désenchantée,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:5XCvIMSKvTNyYq9HevTWa3,spotify:track:6SNcx71T1M7CkRCbswPtwj,0.146,0.514,220533.0,0.936,0.000408,1.0,0.278,-4.79,1.0,0.0664,139.916,4.0,0.293
32,R.I.O.,Shine On,spotify:artist:0Ol3Jol2T3lZZVLNNzWPhj,spotify:album:6hzcXhl0PzW7RVIaFqvGYe,spotify:track:7yIGRf80h3Kwi4GfwJUiQl,0.0416,0.61,203382.0,0.835,0.0,7.0,0.26,-5.306,0.0,0.0748,127.904,4.0,0.395
33,Pakito,Living on Video,spotify:artist:4FHn7iPrkpqsUTwRSxfX4l,spotify:album:2khbF6IALjqaY1fEBUJdn2,spotify:track:7xd4W5j31YBgutLf2FlMuI,0.000194,0.633,199547.0,0.877,0.779,4.0,0.231,-6.116,0.0,0.0345,131.014,4.0,0.558
34,Sonique,Sky,spotify:artist:5xtqw2B8z8JGfDYi2eAZHI,spotify:album:4LX27S3cszKEJW84BGa1Ff,spotify:track:7zlkYAQdYPIwagUwO7Dyah,0.0822,0.607,266720.0,0.758,1.31e-06,9.0,0.153,-7.292,1.0,0.0341,143.142,4.0,0.733
35,September,Satellites,spotify:artist:6VX2R9L0O0d6qPvqGuIH7b,spotify:album:3hAQd7sXzcFJApKbZfQhvs,spotify:track:7iZuR1XsziH1CN5xYp4H18,0.231,0.687,186107.0,0.947,0.0,11.0,0.0854,-3.868,1.0,0.0497,129.027,4.0,0.817
36,Narcotic Thrust,I Like It,spotify:artist:5nI09GHOrlMO2wJNfDm2OD,spotify:album:0Xff533nhXOowBW85ouKEs,spotify:track:2ImBZyxZFNhMnPks8GyIsY,0.0412,0.718,188800.0,0.865,0.00125,6.0,0.325,-7.477,0.0,0.0487,130.038,4.0,0.619
38,Kate Ryan,Ella Elle L A Radio Version,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:1bV3jw1mlVbPkzc9bCGCsl,0.00283,0.56,184693.0,0.861,4.98e-05,4.0,0.229,-4.383,0.0,0.033,124.917,4.0,0.561
40,Akcent,Kylie,spotify:artist:57Pw3FSi1qi2fOY4wKOKjK,spotify:album:2ChywNmd4XCgJGnYUq8zAF,spotify:track:1zhUaodzu43qKwK0idP6IA,0.0095,0.76,246885.0,0.855,0.0,5.0,0.0767,-5.137,0.0,0.0389,125.018,4.0,0.792
41,EDX,All I Know,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:1x3YCrWS5EbU8Lqs0efi1M,spotify:track:6tr6I3YJnHUqKHfJXnm4jk,0.00518,0.717,148801.0,0.944,0.477,1.0,0.113,-5.041,1.0,0.0386,124.993,4.0,0.354
42,EDX,I Found You (Neptune),spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3P86G1IWPEI9yX9ANvjJ0f,spotify:track:078XSMBD1XBjtxee96dgew,0.0209,0.823,158735.0,0.916,0.0111,1.0,0.0746,-4.684,1.0,0.0559,124.024,4.0,0.896
43,Fleetwood Mac,Seven Wonders 2017 Remaster,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:4AsXQ17Arq1cUVoa9dKJ3F,spotify:track:1VN2vWSkSmMKOhxr8lHzSx,0.0259,0.707,222400.0,0.625,5.42e-05,4.0,0.104,-9.529,1.0,0.0303,119.049,4.0,0.634
44,Fleetwood Mac,The Chain 2004 Remaster,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:0BwWUstDMUbgq2NYONRqlu,spotify:track:5e9TFTbltYBg2xThimr0rU,0.009,0.545,270213.0,0.67,0.000822,9.0,0.0451,-8.81,1.0,0.0496,151.553,4.0,0.481
45,Cardi B,WAP (feat. Megan Thee Stallion),spotify:artist:4kYSro6naA4h99UJvo89HB,spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,spotify:track:4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,187541.0,0.454,0.0,1.0,0.0824,-7.509,1.0,0.375,133.073,4.0,0.357
