,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
84,Nora En Pure,Tell My Heart (feat. Dani Senior),spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5sWYiEq2NzmcqhIkdp2r9Y,spotify:track:4Zj5rf0cOJimOIDfV3bqyX,,,,,,,,,,,,,
85,Nora En Pure,Turn It Around Original Mix,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Q2t8dWk1KUFZuTm0cM4ex,spotify:track:6Xg8V2bVsD6gXn5k4jN7jj,,,,,,,,,,,,,
86,Nora En Pure,We Found Love (feat. Ashibah),spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3U6qj7DDrp0ous2FpvmAAa,spotify:track:6179WQbZYf2WXoVne3mN6d,,,,,,,,,,,,,
87,Nora En Pure,Satisfy Mart Radio Edit,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5XUAhXbWHsIDaAVGerOorM,spotify:track:6hzQuQ1vwvC4sL2kRRyHmH,,,,,,,,,,,,,
88,Polo & Pan,Feel Good,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7bV4wxsjlnAq7hJ4y4MTQm,spotify:track:3NMFWhIDAdDGX3xmXOxHyo,,,,,,,,,,,,,
89,Polo & Pan,Attrape-rêve,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:0aTaTaROrLwQokUSudVKIe,,,,,,,,,,,,,
90,Polo & Pan,Nanã,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:0Psz3az3RIYfJpnsajBT8N,,,,,,,,,,,,,
91,Polo & Pan,Pili Pili,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:74N9cnVOhruZpoZUt4Ky5z,,,,,,,,,,,,,
92,Polo & Pan,Canopée,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:0SuFqlCe5i30Fr75ZlPQVT,spotify:track:260V7huyJrXnyYe0dFv2Fa,,,,,,,,,,,,,
93,Polo & Pan,Peter Pan,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:10H4nbqjbmrGo4bG23dfWK,spotify:track:7CIkvtqLxM5mwDaItJDVuP,,,,,,,,,,,,,
94,Polo & Pan,Gengis Edit,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lTn1zyy0duOEeypiqzmcr,spotify:track:1pYSFtyZaRyP4bwazfm5cy,,,,,,,,,,,,,
95,Polo & Pan,Arc-en-ciel,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:2oM0352CT43WHNwS8a6OPo,spotify:track:1gWZZyQPb8KxMLS88wCdGR,,,,,,,,,,,,,
96,Polo & Pan,Dorothy,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lJXrA1jzqGVpLUyLIYXLK,spotify:track:2GuIRSthEpYN5MO6PGD7Vx,,,,,,,,,,,,,
97,Corine,Pluie fine Polo Pan Remix,spotify:artist:6vs7gfG3OVDyBiY7loLsyQ,spotify:album:6mM9jFuElvjw45AfSHNf0c,spotify:track:33F1mJbbdTdmZuSI5zxoSw,,,,,,,,,,,,,
98,Yuksek,Cadenza Edit,spotify:artist:2ePIzx9NjxplS724QMZtsf,spotify:album:4SDT1aWAajt4ICuwa1sfiN,spotify:track:2eurAydCrpvsrW2nwaKDez,,,,,,,,,,,,,
100,Keala Settle,"This Is Me Alan Walker Relift; from ""The Greatest Showman""",spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7luUoT7Y82DkMvGzZib8oo,spotify:track:1QBoJK6GLAYMlNblm5gFBP,,,,,,,,,,,,,
102,Keala Settle,Bird Set Free,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7KvITMHiH0V9beHz4FAiHk,spotify:track:01mfJ2QI3OYtiLat3GasVB,,,,,,,,,,,,,
103,Elijah N,Everybody,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,,,,,,,,,,,,,
108,Rihanna,Only Girl (In The World),spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,spotify:album:5QG3tjE5L9F6O2vCAPph38,spotify:track:2ENexcMEMsYk0rVJigVD3i,,,,,,,,,,,,,
109,Pháo,2 Phút Hơn KAIZ Remix,spotify:artist:4en2ObzSYlIYbCGknXjgG9,spotify:album:1V8qSPtmixwUiyLheEazuc,spotify:track:4SUk1ZTtA6OC120afxrpRZ,,,,,,,,,,,,,
110,One Direction,What Makes You Beautiful,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,spotify:album:6cunQQ7YZisYOoiFu2ywIq,spotify:track:4cluDES4hQEUhmXj6TXkSo,,,,,,,,,,,,,
111,Run–D.M.C.,Its Tricky,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,spotify:album:7AFsTiojVaB2I58oZ1tMRg,spotify:track:6jBCehpNMkwFVF3dz4nLIW,,,,,,,,,,,,,
114,Asaf Avidan,The Labyrinth Song,spotify:artist:7t51dSX8ZkKC7VoKRd0lME,spotify:album:5SnyFVHXPnQLzqys1O0kWe,spotify:track:2H4x76nJf1q2jqw72uwzxN,,,,,,,,,,,,,
115,Jack Johnson,Better Together,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,spotify:album:7tTc46dNdE6GGuiQsssWxo,spotify:track:4VywXu6umkIQ2OS0m1I79y,,,,,,,,,,,,,
116,Raury,Gods Whisper,spotify:artist:2PU4qFehXQF7WnlFsJpBiJ,spotify:album:3HVk2UGwXUfE51s1MmPzrL,spotify:track:4BjX3hTy43SMyXUKXBVF2v,,,,,,,,,,,,,
117,Regard,Ride It,spotify:artist:4ofCBoyEiGSePFAG500xev,spotify:album:4zOhjJfe0dwqsNdDYk622E,spotify:track:2tnVG71enUj33Ic2nFN6kZ,,,,,,,,,,,,,
119,Jeff Buckley,Hallelujah,spotify:artist:3nnQpaTvKb5jCQabZefACI,spotify:album:7yQtjAjhtNi76KRu05XWFS,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,,,,,,,,,,,,,
120,Mabel,Dont Call Me Up,spotify:artist:1MIVXf74SZHmTIp4V4paH4,spotify:album:0syM7OUAhV7S6XmOa4nLUZ,spotify:track:5WHTFyqSii0lmT9R21abT8,,,,,,,,,,,,,
121,Tujamo,Candy On The Dancefloor,spotify:artist:2vVNxGBvKRQMWwI5c8KmYh,spotify:album:4aKSciNw4kZGWZVGHKmMEO,spotify:track:41RSRxdVqnSWlL9Glx95fG,,,,,,,,,,,,,
123,Bonaparte,Melody X,spotify:artist:2jwl8DJIsmnFbA5vPdGSCy,spotify:album:3HCY9oQ7X5vPQzfkHAgNW0,spotify:track:5rZRM3Lf4eGsMpCDcOJ87C,,,,,,,,,,,,,
124,Jax Jones,Breathe,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr,spotify:album:3Qogp7B6ZdNWIijjpxpvx0,spotify:track:4lN7fiv6YxuNDVniqrmLaQ,,,,,,,,,,,,,
125,Marie Davidson,Work It Soulwax Remix,spotify:artist:7xJVICbAWizNBKBD3mRWjF,spotify:album:074U95kLP3roPuXrpjTYtT,spotify:track:6WfL1pwMyFf3IvFWLnre4P,,,,,,,,,,,,,
